module:input:0:alpha	module:input:0:density	module:input:0:numVertex	module:measure:PAPI:PAPI_LD_INS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:diff	module:output:0:num_iterations
0.5	0	200000	217436353	574445960	0.116386	1426613424.673755	1426613424.55736	4.884758415328371e-06	9
0.5	0	200000	217436315	574445960	0.116369	1426614073.357273	1426614073.240897	4.884758415328371e-06	9
0.5	0	200000	217436363	574445960	0.11646	1426614722.48806	1426614722.371592	4.884758415328371e-06	9
0.7	0	200000	266340313	703571606	0.141474	1426613426.620151	1426613426.478669	3.131614114431577e-06	11
0.7	0	200000	266340794	703571607	0.141625	1426614075.307457	1426614075.165824	3.131614114431577e-06	11
0.7	0	200000	266340622	703571610	0.141632	1426614724.443154	1426614724.301515	3.131614114431577e-06	11
0.8	0	200000	290792517	768134431	0.154016	1426613428.569022	1426613428.414999	2.797350689910321e-06	12
0.8	0	200000	290792942	768134431	0.153726	1426614077.271019	1426614077.117284	2.797350689910321e-06	12
0.8	0	200000	290792373	768134430	0.153787	1426614726.406647	1426614726.252852	2.797350689910321e-06	12
0.99	0	200000	315244920	832697253	0.166222	1426613432.49761	1426613432.33138	8.58309893223328e-06	13
0.99	0	200000	315244727	832697253	0.166095	1426614081.219575	1426614081.05347	8.58309893223328e-06	13
0.99	0	200000	315244260	832697253	0.166353	1426614730.363015	1426614730.196654	8.58309893223328e-06	13
0.9	0	200000	315245449	832697255	0.166957	1426613430.534727	1426613430.367762	2.692658330092508e-06	13
0.9	0	200000	315244600	832697254	0.166151	1426614079.246087	1426614079.07993	2.692658330092508e-06	13
0.9	0	200000	315244459	832697253	0.166445	1426614728.383154	1426614728.2167	2.692658330092508e-06	13
0.3	0	200000	247010045	653483412	0.12977	1426613434.611922	1426613434.482145	2.29692538638978e-06	9
0.3	0	200000	247010039	653483412	0.129527	1426614083.285672	1426614083.156137	2.29692538638978e-06	9
0.3	0	200000	247010353	653483413	0.130283	1426614732.430313	1426614732.300022	2.29692538638978e-06	9
0.5	0	200000	302545066	800324650	0.157957	1426613436.704015	1426613436.54605	3.053947327349111e-06	11
0.5	0	200000	302545017	800324650	0.157736	1426614085.382065	1426614085.224321	3.053947327349111e-06	11
0.5	0	200000	302545029	800324651	0.157942	1426614734.52993	1426614734.371979	3.053947327349111e-06	11
0.7	0	200000	358080154	947165889	0.186356	1426613438.820219	1426613438.633855	3.130379227494576e-06	13
0.7	0	200000	358079762	947165888	0.186078	1426614087.502406	1426614087.316319	3.130379227494576e-06	13
0.7	0	200000	358080381	947165889	0.187262	1426614736.660143	1426614736.472873	3.130379227494576e-06	13
0.8	0	200000	385847829	1020586508	0.200502	1426613440.947581	1426613440.74707	3.336698824185061e-06	14
0.8	0	200000	385847965	1020586509	0.200527	1426614089.637127	1426614089.436592	3.336698824185061e-06	14
0.8	0	200000	385849051	1020586512	0.200242	1426614738.81126	1426614738.61101	3.336698824185061e-06	14
0.99	0	200000	441382429	1167427746	0.228462	1426613445.296996	1426613445.068526	4.48484582497903e-06	16
0.99	0	200000	441382990	1167427748	0.228816	1426614093.951112	1426614093.722288	4.48484582497903e-06	16
0.99	0	200000	441382215	1167427745	0.228712	1426614743.136345	1426614742.907625	4.48484582497903e-06	16
0.9	0	200000	413614730	1094007127	0.2146	1426613443.1235	1426613442.908892	3.935771251817059e-06	15
0.9	0	200000	413615174	1094007127	0.214555	1426614091.788491	1426614091.573928	3.935771251817059e-06	15
0.9	0	200000	413615056	1094007130	0.214925	1426614740.961003	1426614740.746069	3.935771251817059e-06	15
